Date,DOG
11/5/2012,135.529114
11/6/2012,134.319016
11/7/2012,137.090485
11/8/2012,138.495743
11/9/2012,138.534821
11/12/2012,138.417679
11/13/2012,139.042236
11/14/2012,140.915909
11/15/2012,141.150131
11/16/2012,140.798767
11/19/2012,138.417679
11/20/2012,138.417679
11/21/2012,137.832184
11/23/2012,135.958496
11/26/2012,136.426941
11/27/2012,137.28566
11/28/2012,136.23175
11/29/2012,135.685226
11/30/2012,135.724289
12/3/2012,136.23175
12/4/2012,136.544006
12/5/2012,135.529114
12/6/2012,135.021652
12/7/2012,134.084808
12/10/2012,133.967728
12/11/2012,133.226013
12/12/2012,133.226013
12/13/2012,133.967728
12/14/2012,134.240952
12/17/2012,133.226013
12/18/2012,132.054977
12/19/2012,133.030884
12/20/2012,132.406326
12/21/2012,133.538315
12/24/2012,134.12384
12/26/2012,134.397079
12/27/2012,134.592255
12/28/2012,136.192703
12/31/2012,134.279968
1/2/2013,131.157196
1/3/2013,131.43042
1/4/2013,131.040115
1/7/2013,131.469467
1/8/2013,131.937897
1/9/2013,131.313354
1/10/2013,130.493607
1/11/2013,130.376495
1/14/2013,130.181335
1/15/2013,129.947113
1/16/2013,130.181335
1/17/2013,129.283539
1/18/2013,128.893158
1/22/2013,128.268631
1/23/2013,127.565994
1/24/2013,127.136597
1/25/2013,126.433968
1/28/2013,126.512047
1/29/2013,125.887497
1/30/2013,126.277824
1/31/2013,126.668182
2/1/2013,125.419075
2/4/2013,126.433968
2/5/2013,125.653275
2/6/2013,125.458092
2/7/2013,125.809418
2/8/2013,125.38002
2/11/2013,125.536179
2/12/2013,125.106796
2/13/2013,125.262947
2/14/2013,125.223892
2/15/2013,125.223892
2/19/2013,124.75547
2/20/2013,125.653275
2/21/2013,126.082657
2/22/2013,124.911613
2/25/2013,126.746262
2/26/2013,125.809418
2/27/2013,124.169945
2/28/2013,124.404167
3/1/2013,124.091896
3/4/2013,123.701546
3/5/2013,122.530487
3/6/2013,122.25724
3/7/2013,121.905922
3/8/2013,121.320404
3/11/2013,120.930061
3/12/2013,120.773918
3/13/2013,120.734879
3/14/2013,120.071289
3/15/2013,120.227425
3/18/2013,120.656807
3/19/2013,120.695847
3/20/2013,120.188408
3/21/2013,120.930061
3/22/2013,120.188408
3/25/2013,120.617783
3/26/2013,119.75901
3/27/2013,120.032265
3/28/2013,119.680931
4/1/2013,119.641899
4/2/2013,118.978317
4/3/2013,119.798058
4/4/2013,119.36866
4/5/2013,119.680931
4/8/2013,119.21254
4/9/2013,118.70507
4/10/2013,117.729202
4/11/2013,117.221741
4/12/2013,117.221741
4/15/2013,119.21254
4/16/2013,117.963402
4/17/2013,119.095413
4/18/2013,119.719978
4/19/2013,119.563843
4/22/2013,119.446754
4/23/2013,118.158592
4/24/2013,118.431816
4/25/2013,118.197624
4/26/2013,118.158592
4/29/2013,117.338844
4/30/2013,117.182709
5/1/2013,118.275688
5/2/2013,117.221741
5/3/2013,116.089729
5/6/2013,116.128769
5/7/2013,115.465172
5/8/2013,114.879662
5/9/2013,114.918694
5/10/2013,114.840622
5/13/2013,114.918694
5/14/2013,114.020889
5/15/2013,113.396332
5/16/2013,113.708595
5/17/2013,112.888878
5/20/2013,112.966942
5/21/2013,112.537552
5/22/2013,113.162117
5/23/2013,113.123077
5/24/2013,113.162117
5/28/2013,112.342392
5/29/2013,113.084045
5/30/2013,112.849838
5/31/2013,114.372208
6/3/2013,113.396332
6/4/2013,113.942818
6/5/2013,115.543228
6/6/2013,114.918694
6/7/2013,113.279221
6/10/2013,113.318268
6/11/2013,114.255104
6/12/2013,115.19194
6/13/2013,113.747643
6/14/2013,114.528343
6/17/2013,113.669571
6/18/2013,112.654671
6/19/2013,114.137985
6/20/2013,116.792366
6/21/2013,116.519112
6/24/2013,117.612091
6/25/2013,116.792366
6/26/2013,115.582275
6/27/2013,114.723511
6/28/2013,115.660355
7/1/2013,115.074837
7/2/2013,115.3871
7/3/2013,114.918694
7/5/2013,113.747643
7/8/2013,113.084045
7/9/2013,112.45948
7/10/2013,112.537552
7/11/2013,111.210373
7/12/2013,111.366508
7/15/2013,111.054237
7/16/2013,111.366508
7/17/2013,111.171326
7/18/2013,110.546783
7/19/2013,110.663887
7/22/2013,110.585815
7/23/2013,110.429672
7/24/2013,110.624863
7/25/2013,110.546783
7/26/2013,110.546783
7/29/2013,110.624863
7/30/2013,110.741951
7/31/2013,110.780991
8/1/2013,109.961258
8/2/2013,109.80513
8/5/2013,110.039314
8/6/2013,110.741951
8/7/2013,110.976166
8/8/2013,110.741951
8/9/2013,111.210373
8/12/2013,111.288445
8/13/2013,111.015198
8/14/2013,111.83493
8/15/2013,113.396332
8/16/2013,113.630547
8/19/2013,114.177032
8/20/2013,114.098961
8/21/2013,114.918694
8/22/2013,114.450272
8/23/2013,114.098961
8/26/2013,114.489304
8/27/2013,115.81649
8/28/2013,115.426147
8/29/2013,115.309036
8/30/2013,115.621307
9/3/2013,115.3871
9/4/2013,114.528343
9/5/2013,114.489304
9/6/2013,114.567368
9/9/2013,113.435356
9/10/2013,112.420456
9/11/2013,111.444572
9/12/2013,111.678802
